,Taxa de Cruzamento,Taxa de Mutação,Tamanho da População,Número de Gerações,Melhor Aptidão - Média,Melhor Aptidão - Desvio Padrão,Aptidão Média - Média,Aptidão Média - Desvio Padrão
0,0.6,0.01,100,100,333.5,28.11187965572167,481.088,65.26575906757438
6,1.0,0.01,100,100,341.2,25.121040318160926,579.061,30.943251086105647
3,0.8,0.01,100,100,348.2,29.264312737530673,540.699,43.42126909706806
12,0.8,0.05,100,100,363.8,35.29179948814046,615.498,15.652779518879948
7,1.0,0.01,200,50,364.6,21.229957868802074,620.0575,10.713511005060646
15,1.0,0.05,100,100,367.2,25.663636184730766,627.893,12.881598460163579
4,0.8,0.01,200,50,370.5,30.240701050074883,605.4745,21.002993761472304
9,0.6,0.05,100,100,370.8,19.2284511423394,607.869,16.25570152968557
1,0.6,0.01,200,50,371.8,29.649058444859033,583.386,16.534296645323497
21,0.8,0.1,100,100,373.3,30.847474234800274,636.962,10.072470512353078
18,0.6,0.1,100,100,378.8,24.3666438668384,636.513,9.459149656402642
13,0.8,0.05,200,50,385.4,29.56048413375908,632.4395,8.180130551117944
10,0.6,0.05,200,50,386.6,28.336078298404903,628.7785,6.616634361801923
19,0.6,0.1,200,50,389.6,20.408059410166583,649.356,3.8414861128937745
16,1.0,0.05,200,50,392.8,24.10071460443537,641.7975,3.271487301926534
24,1.0,0.1,100,100,394.5,18.975129921967742,639.531,12.732171369321792
2,0.6,0.01,500,20,394.8,25.827633779861962,621.3216,7.745022763039491
22,0.8,0.1,200,50,396.6,14.08071967857704,647.024,6.411159021581033
25,1.0,0.1,200,50,397.4,20.53290042833696,651.978,5.222777677315637
14,0.8,0.05,500,20,401.0,20.896570691543307,647.2424,4.692760457461168
8,1.0,0.01,500,20,403.3,19.5451045305752,644.1188,5.266180331975805
5,0.8,0.01,500,20,407.3,12.06510118758507,636.4182000000001,5.706291144186582
23,0.8,0.1,500,20,411.3,20.542909022607073,651.5542,3.570327149653886
26,1.0,0.1,500,20,411.7,15.485118304000421,653.2998,2.705789751214561
20,0.6,0.1,500,20,415.3,17.776701356300926,654.9084,4.322755170798693
11,0.6,0.05,500,20,418.0,26.174627239200774,642.986,4.494293764813842
17,1.0,0.05,500,20,423.5,19.051100872244746,650.847,2.766921152954444
